model,shots,book,answer,ground_truth_age,predicted_age
gpt-oss:20b,0,Doctor Zhivago,14-15,14-15,14-15
gpt-oss:20b,0,Doctor Zhivago,14‑15,14-15,14-15
gpt-oss:20b,0,Doctor Zhivago,16-17,14-15,16-17
gpt-oss:20b,0,Doctor Zhivago,18+,14-15,18+
gpt-oss:20b,0,Doctor Zhivago,16-17,14-15,16-17
gpt-oss:20b,1,Doctor Zhivago,14-15,14-15,14-15
gpt-oss:20b,1,Doctor Zhivago,18+,14-15,18+
gpt-oss:20b,1,Doctor Zhivago,14-15,14-15,14-15
gpt-oss:20b,1,Doctor Zhivago,14-15,14-15,14-15
gpt-oss:20b,1,Doctor Zhivago,16-17,14-15,16-17
gpt-oss:20b,3,Doctor Zhivago,14-15,14-15,14-15
gpt-oss:20b,3,Doctor Zhivago,18+,14-15,18+
gpt-oss:20b,3,Doctor Zhivago,18+,14-15,18+
gpt-oss:20b,3,Doctor Zhivago,18+,14-15,18+
gpt-oss:20b,3,Doctor Zhivago,16-17,14-15,16-17
gpt-oss:20b,5,Doctor Zhivago,,14-15,0
gpt-oss:20b,5,Doctor Zhivago,14-15,14-15,14-15
gpt-oss:20b,5,Doctor Zhivago,14-15,14-15,14-15
gpt-oss:20b,5,Doctor Zhivago,18+,14-15,18+
gpt-oss:20b,5,Doctor Zhivago,14-15,14-15,14-15
gpt-oss:20b,0,Trainspotting,16-17,16-17,16-17
gpt-oss:20b,0,Trainspotting,16-17,16-17,16-17
gpt-oss:20b,0,Trainspotting,16‑17,16-17,16-17
gpt-oss:20b,0,Trainspotting,16-17,16-17,16-17
gpt-oss:20b,0,Trainspotting,16-17,16-17,16-17
gpt-oss:20b,1,Trainspotting,16-17,16-17,16-17
gpt-oss:20b,1,Trainspotting,16-17,16-17,16-17
gpt-oss:20b,1,Trainspotting,16-17,16-17,16-17
gpt-oss:20b,1,Trainspotting,16-17,16-17,16-17
gpt-oss:20b,1,Trainspotting,18+,16-17,18+
gpt-oss:20b,3,Trainspotting,16-17,16-17,16-17
gpt-oss:20b,3,Trainspotting,"16-17
18+
16-17
16-17
14-15",16-17,16-17
gpt-oss:20b,3,Trainspotting,16-17,16-17,16-17
gpt-oss:20b,3,Trainspotting,14-15,16-17,14-15
gpt-oss:20b,3,Trainspotting,16-17,16-17,16-17
gpt-oss:20b,5,Trainspotting,14-15,16-17,14-15
gpt-oss:20b,5,Trainspotting,16‑17,16-17,16-17
gpt-oss:20b,5,Trainspotting,16-17,16-17,16-17
gpt-oss:20b,5,Trainspotting,14-15,16-17,14-15
gpt-oss:20b,5,Trainspotting,16‑17,16-17,16-17
gpt-oss:20b,0,"Eastern Body, Western Mind: Psychology and the Chakra System As a Path to the Self",18+,18+,18+
gpt-oss:20b,0,"Eastern Body, Western Mind: Psychology and the Chakra System As a Path to the Self",12-13,18+,12-13
gpt-oss:20b,0,"Eastern Body, Western Mind: Psychology and the Chakra System As a Path to the Self",18+,18+,18+
gpt-oss:20b,0,"Eastern Body, Western Mind: Psychology and the Chakra System As a Path to the Self",12-13,18+,12-13
gpt-oss:20b,0,"Eastern Body, Western Mind: Psychology and the Chakra System As a Path to the Self",12-13,18+,12-13
gpt-oss:20b,1,"Eastern Body, Western Mind: Psychology and the Chakra System As a Path to the Self",18+,18+,18+
gpt-oss:20b,1,"Eastern Body, Western Mind: Psychology and the Chakra System As a Path to the Self",18+,18+,18+
gpt-oss:20b,1,"Eastern Body, Western Mind: Psychology and the Chakra System As a Path to the Self",18+,18+,18+
gpt-oss:20b,1,"Eastern Body, Western Mind: Psychology and the Chakra System As a Path to the Self",12-13,18+,12-13
gpt-oss:20b,1,"Eastern Body, Western Mind: Psychology and the Chakra System As a Path to the Self",18+,18+,18+
gpt-oss:20b,3,"Eastern Body, Western Mind: Psychology and the Chakra System As a Path to the Self",18+,18+,18+
gpt-oss:20b,3,"Eastern Body, Western Mind: Psychology and the Chakra System As a Path to the Self",18+,18+,18+
gpt-oss:20b,3,"Eastern Body, Western Mind: Psychology and the Chakra System As a Path to the Self",18+,18+,18+
gpt-oss:20b,3,"Eastern Body, Western Mind: Psychology and the Chakra System As a Path to the Self",18+,18+,18+
gpt-oss:20b,3,"Eastern Body, Western Mind: Psychology and the Chakra System As a Path to the Self",16-17,18+,16-17
